Date,Avg Temperature
2012-10-27,72.2
2012-10-28,70.8
2012-10-29,71.0
2012-10-30,71.4
2012-10-31,73.5
2012-11-01,70.4
2012-11-02,68.8
2012-11-03,69.6
2012-11-04,66.6
2012-11-05,68.1
2012-11-06,67.5
2012-11-07,69.7
2012-11-08,68.1
2012-11-09,70.4
2012-11-10,72.1
2012-11-11,65.3
2012-11-12,70.6
2012-11-13,67.2
2012-11-14,66.4
2012-11-15,66.2
2012-11-16,66.0
2012-11-17,65.7
2012-11-18,67.4
2012-11-19,67.2
2012-11-20,64.3
2012-11-21,62.9
2012-11-22,62.8
2012-11-23,63.9
2012-11-24,65.8
2012-11-25,63.5
2012-11-26,61.0
2012-11-27,61.8
2012-11-28,62.6
2012-11-29,64.8
2012-11-30,61.1
2012-12-01,58.4
2012-12-02,59.3
2012-12-03,58.3
2012-12-04,58.0
2012-12-05,58.8
2012-12-06,60.3
2012-12-07,61.6
2012-12-08,63.5
2012-12-09,63.6
2012-12-10,67.2
2012-12-11,58.8
2012-12-12,62.0
2012-12-13,66.6
2012-12-14,62.9
2012-12-15,64.0
2012-12-16,62.4
2012-12-17,60.2
2012-12-18,60.6
2012-12-19,57.0
2012-12-20,56.5
2012-12-21,56.7
2012-12-22,56.7
2012-12-23,52.3
2012-12-24,50.5
2012-12-25,49.8
2012-12-26,51.7
2012-12-27,50.5
2012-12-28,53.3
2012-12-29,55.6
2012-12-30,50.8
2012-12-31,47.3
2013-01-01,47.9
2013-01-02,43.6
2013-01-03,44.0
2013-01-04,43.9
2013-01-05,43.6
2013-01-06,42.5
2013-01-07,41.2
2013-01-08,45.1
2013-01-09,51.1
2013-01-10,55.3
2013-01-11,57.3
2013-01-12,61.4
2013-01-13,59.8
2013-01-14,52.5
2013-01-15,58.3
2013-01-16,63.2
2013-01-17,61.7
2013-01-18,54.3
2013-01-19,52.9
2013-01-20,51.6
2013-01-21,51.4
2013-01-22,52.6
2013-01-23,53.5
2013-01-24,53.3
2013-01-25,53.8
2013-01-26,55.7
2013-01-27,56.3
2013-01-28,56.0
2013-01-29,57.9
2013-01-30,59.8
2013-01-31,59.5
2013-02-01,59.1
2013-02-02,62.3
2013-02-03,65.4
2013-02-04,62.8
2013-02-05,61.9
2013-02-06,61.5
2013-02-07,57.0
2013-02-08,56.4
2013-02-09,59.1
2013-02-10,60.2
2013-02-11,60.5
2013-02-12,58.4
2013-02-13,61.3
2013-02-14,65.0
2013-02-15,64.0
2013-02-16,57.5
2013-02-17,56.5
2013-02-18,57.6
2013-02-19,60.5
2013-02-20,61.2
2013-02-21,66.8
2013-02-22,68.5
2013-02-23,62.6
2013-02-24,62.0
2013-02-25,63.5
2013-02-26,68.2
2013-02-27,70.0
2013-02-28,68.2
2013-03-01,61.9
2013-03-02,66.1
2013-03-03,67.9
2013-03-04,70.1
2013-03-05,71.2
2013-03-06,68.9
2013-03-07,72.1
2013-03-08,73.1
2013-03-09,78.3
2013-03-10,76.1
2013-03-11,75.7
2013-03-12,74.9
2013-03-13,77.1
2013-03-14,71.6
2013-03-15,73.1
2013-03-16,72.5
2013-03-17,73.4
2013-03-18,72.4
2013-03-19,76.0
2013-03-20,79.8
2013-03-21,78.3
2013-03-22,77.5
2013-03-23,81.2
2013-03-24,81.1
2013-03-25,73.0
2013-03-26,72.7
2013-03-27,74.2
2013-03-28,74.9
2013-03-29,71.8
2013-03-30,74.8
2013-03-31,79.0
2013-04-01,80.8
2013-04-02,78.0
2013-04-03,78.2
2013-04-04,78.1
2013-04-05,78.9
2013-04-06,81.2
2013-04-07,83.3
2013-04-08,85.8
2013-04-09,88.7
2013-04-10,87.0
2013-04-11,85.3
2013-04-12,86.0
2013-04-13,87.4
2013-04-14,82.1
2013-04-15,84.5
2013-04-16,90.3
2013-04-17,85.9
2013-04-18,87.5
2013-04-19,87.9
2013-04-20,88.1
2013-04-21,81.7
2013-04-22,80.3
2013-04-23,85.2
2013-04-24,88.9
2013-04-25,89.6
2013-04-26,87.6
2013-04-27,89.6
2013-04-28,88.8
2013-04-29,91.6
2013-04-30,94.1
2013-05-01,87.6
2013-05-02,87.0
2013-05-03,89.0
2013-05-04,93.4
2013-05-05,93.2
2013-05-06,92.4
2013-05-07,93.0
2013-05-08,94.9
2013-05-09,95.0
2013-05-10,93.2
2013-05-11,86.7
2013-05-12,84.8
2013-05-13,89.7
2013-05-14,92.6
2013-05-15,93.7
2013-05-16,94.2
2013-05-17,96.0
2013-05-18,97.0
2013-05-19,100.1
2013-05-20,100.7
2013-05-21,98.9
2013-05-22,98.5
2013-05-23,101.7
2013-05-24,101.7
2013-05-25,99.9
2013-05-26,99.9
2013-05-27,96.3
2013-05-28,97.9
2013-05-29,98.0
2013-05-30,93.5
2013-05-31,95.9
2013-06-01,88.6
2013-06-02,91.3
2013-06-03,92.3
2013-06-04,98.0
2013-06-05,101.1
2013-06-06,91.6
2013-06-07,92.5
2013-06-08,94.6
2013-06-09,96.6
2013-06-10,98.1
2013-06-11,85.5
2013-06-12,92.6
2013-06-13,85.5
2013-06-14,87.5
2013-06-15,85.9
2013-06-16,80.1
2013-06-17,80.3
2013-06-18,82.5
2013-06-19,86.9
2013-06-20,93.1
2013-06-21,96.9
